index,trial,block,image_left,image_right,old_image,new_image,button,subject_index,valid,idx_trial_subj,left_is_new,right_is_new,old_new_comb,category_left,category_right,time_left,time_right,longer_left,longer_right,avg_dur_left,avg_dur_right,longer_avg_dur_left,longer_avg_dur_right
2159,160,3,73,147,1,2,1,11,True,7801,False,True,3,humans,indoor,0.7113223854796888,0.28867761452031115,True,False,274.3333333333333,334.0,False,True
2160,161,3,60,150,1,2,1,11,True,7850,False,True,3,urban,faces,0.21699819168173598,0.783001808318264,False,True,480.0,216.5,True,False
2161,162,3,94,138,2,1,2,11,True,7899,True,False,1,faces,natural,0.5062866722548198,0.49371332774518023,True,False,302.0,392.6666666666667,False,True
2162,163,3,129,70,2,1,2,11,True,7948,True,False,1,natural,natural,0.45184518451845185,0.5481548154815482,False,True,334.6666666666667,304.5,True,False
2163,164,3,193,19,1,2,1,11,False,7997,False,True,3,natural,natural,0.6542461005199307,0.34575389948006935,True,False,302.0,399.0,False,True
2164,165,3,32,183,2,1,2,11,True,8046,True,False,1,indoor,humans,0.3271604938271605,0.6728395061728395,False,True,247.33333333333334,381.5,False,True
2165,166,3,170,15,2,1,2,11,True,8095,True,False,1,urban,humans,0.8232830820770519,0.17671691792294808,True,False,280.85714285714283,211.0,True,False
2166,167,3,165,157,2,1,2,11,True,8144,True,False,1,indoor,humans,0.7064760302775441,0.29352396972245587,True,False,336.0,349.0,False,True
2167,168,3,136,199,2,1,1,11,True,8193,True,False,1,urban,natural,0.5556521739130434,0.4443478260869565,True,False,319.5,255.5,True,False
2168,169,3,58,189,1,2,1,11,True,8242,False,True,3,humans,natural,0.7395833333333334,0.2604166666666667,True,False,213.0,200.0,True,False
2169,170,3,17,179,2,1,2,11,True,8291,True,False,1,natural,humans,0.4539249146757679,0.5460750853242321,False,True,354.6666666666667,320.0,True,False
2170,171,3,91,1,2,1,2,11,True,8340,True,False,1,natural,natural,0.5616698292220114,0.43833017077798864,True,False,236.8,308.0,False,True
2171,172,3,44,37,2,1,2,11,True,8389,True,False,1,natural,urban,0.4496527777777778,0.5503472222222222,False,True,259.0,253.6,True,False
2172,173,3,90,61,2,1,1,11,True,8438,True,False,1,urban,natural,0.3756906077348066,0.6243093922651933,False,True,272.0,339.0,False,True
2173,174,3,128,52,1,2,1,11,False,8487,False,True,3,humans,urban,0.27338782924613986,0.7266121707538601,False,True,602.0,533.3333333333334,True,False
2174,175,3,45,189,2,1,2,11,False,8536,True,False,1,urban,natural,0.3719723183391003,0.6280276816608996,False,True,286.6666666666667,363.0,False,True
